Project	sampleID	Feature	MEAN_COVERAGE	MEAN_TARGET_COVERAGE	MEAN_BAIT_COVERAGE	coverage	platform
2792	PD51605b_lo0049	parenchyma	45.549194	NA	NA	45.549194	WGS
2792	PD51605b_lo0050	parenchyma	38.876918	NA	NA	38.876918	WGS
2792	PD51605b_lo0053	parenchyma	46.968424	NA	NA	46.968424	WGS
2792	PD51605b_lo0054	parenchyma	39.318675	NA	NA	39.318675	WGS
2792	PD51605b_lo0059	parenchyma	47.121636	NA	NA	47.121636	WGS
2792	PD51605b_lo0060	parenchyma	50.287784	NA	NA	50.287784	WGS
2792	PD51605b_lo0066	parenchyma	40.980013	NA	NA	40.980013	WGS
2792	PD51605b_lo0074	parenchyma	38.583385	NA	NA	38.583385	WGS
2792	PD51605b_lo0075	parenchyma	39.929328	NA	NA	39.929328	WGS
2792	PD51605b_lo0076	parenchyma	44.023394	NA	NA	44.023394	WGS
2792	PD51605b_lo0077	parenchyma	46.216087	NA	NA	46.216087	WGS
2792	PD51605b_lo0078	parenchyma	55.122456	NA	NA	55.122456	WGS
2792	PD51605b_lo0079	parenchyma	41.251708	NA	NA	41.251708	WGS
2792	PD51605b_lo0086	parenchyma	55.535228	NA	NA	55.535228	WGS
2792	PD51605b_lo0089	parenchyma	49.454521	NA	NA	49.454521	WGS
2792	PD51606b_lo0049	parenchyma	42.496365	NA	NA	42.496365	WGS
2792	PD51606b_lo0052	parenchyma	28.303032	NA	NA	28.303032	WGS
2792	PD51606b_lo0054	parenchyma	23.116247	NA	NA	23.116247	WGS
2792	PD51606b_lo0056	parenchyma	42.275898	NA	NA	42.275898	WGS
2792	PD51606b_lo0059	parenchyma	26.030924	NA	NA	26.030924	WGS
2792	PD51606b_lo0065	parenchyma	33.64928	NA	NA	33.64928	WGS
2792	PD51606b_lo0072	parenchyma	50.18853	NA	NA	50.18853	WGS
2792	PD51606b_lo0075	parenchyma	37.973381	NA	NA	37.973381	WGS
2792	PD51606b_lo0078	parenchyma	43.307724	NA	NA	43.307724	WGS
2792	PD51606b_lo0079	parenchyma	44.820897	NA	NA	44.820897	WGS
2792	PD51606b_lo0083	parenchyma	51.265725	NA	NA	51.265725	WGS
2792	PD51606b_lo0089	parenchyma	42.731461	NA	NA	42.731461	WGS
2792	PD51606b_lo0091	parenchyma	48.495948	NA	NA	48.495948	WGS
2792	PD51606b_lo0093	parenchyma	38.170707	NA	NA	38.170707	WGS
2792	PD51606b_lo0095	parenchyma	20.198343	NA	NA	20.198343	WGS
2792	PD51607b_lo0051	parenchyma	36.394739	NA	NA	36.394739	WGS
2792	PD51607b_lo0053	parenchyma	34.661653	NA	NA	34.661653	WGS
2792	PD51607b_lo0056	parenchyma	27.912661	NA	NA	27.912661	WGS
2792	PD51607b_lo0059	parenchyma	18.144017	NA	NA	18.144017	WGS
2792	PD51607b_lo0064	parenchyma	23.824866	NA	NA	23.824866	WGS
2792	PD51607b_lo0066	parenchyma	18.220243	NA	NA	18.220243	WGS
2792	PD51607b_lo0068	parenchyma	43.578929	NA	NA	43.578929	WGS
2792	PD51607b_lo0069	parenchyma	50.801481	NA	NA	50.801481	WGS
2792	PD51607b_lo0072	parenchyma	29.817852	NA	NA	29.817852	WGS
2792	PD51607b_lo0082	parenchyma	50.651549	NA	NA	50.651549	WGS
2792	PD51607b_lo0087	parenchyma	34.301935	NA	NA	34.301935	WGS
2792	PD51607b_lo0092	parenchyma	32.60202	NA	NA	32.60202	WGS
2792	PD51607b_lo0093	parenchyma	31.457269	NA	NA	31.457269	WGS
2792	PD51607b_lo0095	parenchyma	50.906992	NA	NA	50.906992	WGS
2792	PD51608b_lo0049	parenchyma	45.887327	NA	NA	45.887327	WGS
2792	PD51608b_lo0050	parenchyma	50.711315	NA	NA	50.711315	WGS
2792	PD51608b_lo0051	parenchyma	59.545577	NA	NA	59.545577	WGS
2792	PD51608b_lo0052	parenchyma	53.804296	NA	NA	53.804296	WGS
2792	PD51608b_lo0053	parenchyma	50.810504	NA	NA	50.810504	WGS
2792	PD51608b_lo0054	parenchyma	48.134337	NA	NA	48.134337	WGS
