"SBS1" "SBS5" "SBS40" "SBS12" "SBS16" "Stan_sig" "N2"
"PD51605b_lo0051" 0.056651822612289 0.157072084627796 0.281252008230393 0.0348606064366597 0.0424703761808109 0.0961424313456886 0.331550670566363
"PD51605b_lo0052" 0.0720122897604343 0.159643388008758 0.322806717671212 0.0457076608757907 0.0538062529102356 0.0593134718799517 0.286710218893617
"PD51605b_lo0055" 0.0914555909267703 0.151501994482494 0.486964821200986 0.043760238831219 0.0509229950406439 0.067132559241751 0.108261800276136
"PD51605b_lo0056" 0.0860810482289981 0.217685764265853 0.333683815123518 0.0495295311918657 0.0892265166880679 0.0601682442501251 0.163625080251572
"PD51605b_lo0058" 0.024922833411437 0.224932751760671 0.180241361257264 0.112084965015616 0.162019164688795 0.0976720133439394 0.198126910522278
"PD51605b_lo0061" 0.0191385838055559 0.233907687207693 0.17304415424436 0.0798280096143911 0.10850768425194 0.0518600205012388 0.333713860374821
"PD51605b_lo0062" 0.0420250772641307 0.256856718501935 0.207837012815223 0.0679478544078394 0.175889164074741 0.0644733652283895 0.184970807707741
"PD51605b_lo0063" 0.0433937688840372 0.207312696200751 0.21151767113031 0.0533514979618207 0.110298975857948 0.139842812011317 0.234282577953817
"PD51605b_lo0064" 0.0885481042031303 0.259539810427397 0.20056409502287 0.147193875385821 0.100927405825688 0.0629985150315934 0.1402281941035
"PD51605b_lo0065" 0.0168170189118895 0.110254291836667 0.545505611551962 0.0832384105504218 0.0774269236184056 0.122916552413231 0.043841191117424
"PD51605b_lo0068" 0.0444946962269515 0.304091976339565 0.305254167084641 0.115255196759649 0.0753915701043858 0.115573414744873 0.0399389787399343
"PD51605b_lo0071" 0.049150269174637 0.315621242630137 0.356782510352392 0.0832216810145689 0.0566406182000921 0.107693902703834 0.0308897759243389
"PD51605b_lo0072" 0.0145496116802218 0.357109151794117 0.38558511071455 0.0395896593751507 0.0701087240912856 0.0425862252084817 0.0904715171361938
"PD51605b_lo0073" 0.0490511101084553 0.148767778165463 0.254355155703853 0.0565713805989219 0.104483568817516 0.133383108689002 0.253387897916788
"PD51605b_lo0080" 0.0217614047847486 0.377375772402246 0.24344048457955 0.0523726822711635 0.0821777455716778 0.0842465506767341 0.138625359713879
"PD51605b_lo0082" 0.0606638807881508 0.185873396547027 0.430961876640656 0.0653998225650938 0.0877805387476194 0.0448777805200926 0.12444270419136
"PD51605b_lo0083" 0.0219932869743681 0.332344728683704 0.476517088999107 0.0278630206365045 0.0661742081927464 0.0450927645480021 0.0300149019655679
"PD51605b_lo0085" 0.0297147190695538 0.30462991343282 0.313177533880539 0.103623991081785 0.067329261315065 0.0777667898362732 0.103757791383964
"PD51605b_lo0088" 0.0169297779247107 0.177684869837274 0.493217762540614 0.120247460308811 0.060299877846578 0.100554407818429 0.0310658437235835
"PD51605b_lo0090" 0.0571489863812185 0.147559123264554 0.438088549374567 0.0768532786664748 0.0489131549605343 0.0924856237440975 0.138951283608554
"PD51605b_lo0093" 0.0217915766323246 0.186419126722141 0.432754535966666 0.078853458859539 0.080890792445526 0.124691750686695 0.0745987586871089
"PD51605b_lo0094" 0.0466907438648256 0.211754375024047 0.132495010482929 0.183064571516449 0.108282772755548 0.111274685036358 0.206437841319843
"PD51606b_lo0050" 0.0358102998235441 0.115582861692765 0.500049129372088 0.0847740631423197 0.0565560961142702 0.181189499037776 0.0260380508172372
"PD51606b_lo0051" 0.0437529214256525 0.337241594312274 0.316043524345796 0.0398443574386421 0.14760892064153 0.0779088945910494 0.0375997872450562
"PD51606b_lo0053" 0.0331921601382144 0.284749929968009 0.409832385343886 0.0413392993163577 0.120649434385885 0.0435853458271959 0.0666514450204513
"PD51606b_lo0055" 0.0422251687496297 0.196126547026813 0.525272980638722 0.0405934409775726 0.0976250218581639 0.0404597372361386 0.057697103512961
"PD51606b_lo0058" 0.0719767000321514 0.282817361688468 0.207030590800013 0.116866986921907 0.161837043889876 0.0988729538467254 0.0605983628208587
"PD51606b_lo0060" 0.0650417663733387 0.301944561630126 0.215155024705181 0.072722393763909 0.122483717259246 0.127341729834626 0.0953108064335736
"PD51606b_lo0061" 0.0719311674928851 0.189108335379828 0.389542332198506 0.0990853618148046 0.059537287338033 0.151637830874398 0.0391576849015451
"PD51606b_lo0062" 0.0280628759288459 0.381728774917781 0.270323402338735 0.103038768076705 0.0708393405655403 0.063045272193771 0.0829615659786209
"PD51606b_lo0063" 0.0295147727063757 0.379007532940321 0.313949975939702 0.104993205653477 0.0709701443748708 0.0642754321337939 0.0372889362514597
"PD51606b_lo0064" 0.0454437751027424 0.375529030259224 0.311267731883823 0.105050111880333 0.0610058058335727 0.0683747999433734 0.0333287450969314
"PD51606b_lo0066" 0.0655447073039603 0.390230528737631 0.151015307273235 0.0559239319072557 0.0730245169844849 0.238420807702128 0.0258402000913054
"PD51606b_lo0067" 0.0461100892646551 0.348330611723803 0.222802855567681 0.0918853809317416 0.089388528019128 0.112687454323159 0.0887950801698323
"PD51606b_lo0068" 0.0280776796625343 0.231328874261864 0.422402173744064 0.136489508680758 0.0496853705223145 0.0990531214084745 0.0329632717199905
"PD51606b_lo0069" 0.111434953466578 0.352031539700496 0.209262678962036 0.0608520639177958 0.0884467805421693 0.0396602736672441 0.138311709743681
"PD51606b_lo0070" 0.0510839549546385 0.185325277786789 0.161696405259194 0.129781443636794 0.103598864244713 0.111103723895775 0.257410330222095
"PD51606b_lo0071" 0.0276053537783535 0.426388020937023 0.261643549479847 0.0549509490051478 0.0816376485431897 0.0850953272434574 0.0626791510129821
"PD51606b_lo0073" 0.0299670824172932 0.47278071486592 0.183516515616107 0.0751945615830418 0.0684402075556099 0.132642188271406 0.0374587296906216
"PD51606b_lo0074" 0.028822793383385 0.292605236976967 0.329060278317458 0.0779946937256673 0.0727004818239452 0.0943136997395158 0.104502816033062
"PD51606b_lo0076" 0.0691338471286962 0.273848186729173 0.392042404145051 0.036012040874809 0.0916157721636236 0.0782682841430276 0.0590794648156193
"PD51606b_lo0077" 0.0714270669829912 0.249725109939974 0.334264334756544 0.0429978344299526 0.0475845476059604 0.155975581660763 0.098025524623815
"PD51606b_lo0080" 0.0682959165050455 0.131299449863837 0.586086773719726 0.033171727932472 0.0589833743932528 0.064153643517394 0.0580091140682729
"PD51606b_lo0081" 0.0380003806536568 0.150383967714136 0.400742940196245 0.0998538756110282 0.163955390188362 0.111054475202698 0.0360089704338727
"PD51606b_lo0082" 0.0647491399668835 0.167889020577097 0.38037465804702 0.0502716201055259 0.123657974863328 0.106101245635131 0.106956340805015
"PD51606b_lo0084" 0.0402723862544512 0.241752624788957 0.189111262804168 0.0802380081340519 0.132710964391915 0.116868853468658 0.199045900157798
"PD51606b_lo0085" 0.0991519161487238 0.302321290259277 0.275284358216376 0.0353132970082333 0.135781666090626 0.0351443280829097 0.117003144193854
"PD51606b_lo0086" 0.065866843915951 0.262915242367208 0.307857424997899 0.0748792414430819 0.126203641040631 0.058619984579014 0.103657621656215
"PD51606b_lo0087" 0.0319530471286068 0.463516669039449 0.15191847065151 0.105870774125916 0.070158005283982 0.126263805365168 0.0503192284053683
"PD51606b_lo0088" 0.0388445130330845 0.233626836602191 0.2440724401674 0.129564638271493 0.104864224434665 0.0745510952305712 0.174476252260594
"PD51606b_lo0090" 0.0417733763682717 0.209465296403814 0.270679372521215 0.0779529102127885 0.126258623607621 0.155364705707658 0.118505715178632
"PD51606b_lo0092" 0.0446497242293851 0.142318501320772 0.45753379715731 0.0490153363021699 0.0648744763999578 0.214384161981328 0.0272240026090773
"PD51606b_lo0094" 0.022931056829115 0.348863748592687 0.359352860713822 0.0311249632615682 0.0774893308321538 0.133254716222403 0.0269833235482519
"PD51606b_lo0096" 0.0254785306011863 0.279768893292148 0.401543818519152 0.107749285290234 0.0681986945150397 0.055107374456138 0.0621534033261027
"PD51607b_lo0050" 0.115367353809767 0.23223870366924 0.227854649159332 0.0379546272209813 0.208951190652889 0.040320723847424 0.137312751640367
"PD51607b_lo0052" 0.0536765574254502 0.118857795433041 0.558349295344996 0.050214950225693 0.0839064595692275 0.108903479918655 0.0260914620829375
"PD51607b_lo0054" 0.0523071355275249 0.244812436755986 0.34993613785921 0.131757189294455 0.0993565253212954 0.0880636805719698 0.0337668946695596
"PD51607b_lo0055" 0.102400819756112 0.137257534055737 0.378983542417368 0.143286485476314 0.0518647994732359 0.0908822441458403 0.0953245746753925
"PD51607b_lo0057" 0.107353186433055 0.198746197936895 0.370719911552787 0.0655138685281092 0.0620219893324109 0.0948203159367618 0.100824530279981
"PD51607b_lo0058" 0.112816773347436 0.324501472851292 0.214130526654547 0.0481175617439778 0.0599317882481075 0.122203237799613 0.118298639355026
"PD51607b_lo0060" 0.0838608114070941 0.14870702697528 0.106932570686537 0.137703059319088 0.133275093043218 0.109933573832316 0.279587864736467
"PD51607b_lo0064" 0.0406135436152993 0.428534617607941 0.239808068880634 0.0959487618808131 0.0648939010205774 0.0871606362678501 0.0430404707268858
"PD51607b_lo0067" 0.112508347281557 0.165455545046904 0.319361651302034 0.0756936829202341 0.120811793021318 0.052604886213514 0.153564094214439
"PD51607b_lo0071" 0.117747531056779 0.128603010599093 0.322894057599639 0.0728473324885815 0.109153636874673 0.135320713305881 0.113433718075353
"PD51607b_lo0073" 0.122631600666243 0.17626859117731 0.277187677018982 0.0772505687866485 0.131274551633795 0.0664731057788698 0.148913904938152
"PD51607b_lo0076" 0.103237684783495 0.165577328224655 0.156621944619714 0.0782474944244644 0.147642973477676 0.0997368617868613 0.248935712683134
"PD51607b_lo0077" 0.138067237754717 0.139657994888022 0.242431641047688 0.0735599710912669 0.1462371188753 0.0670242753487584 0.193021760994247
"PD51607b_lo0078" 0.186839061313795 0.219001395879794 0.188155384101501 0.0861366866106377 0.0862342615363548 0.0767438662882178 0.1568893442697
"PD51607b_lo0080" 0.145019700855816 0.200508150503225 0.271758139748991 0.0755910219922414 0.0993664569612024 0.0782166489312132 0.129539881007311
"PD51607b_lo0081" 0.039942034431732 0.188182629699632 0.457629329532318 0.0551033537774648 0.0718100484690045 0.137816684631779 0.0495159194580692
"PD51607b_lo0083" 0.0275858117211207 0.142267592137129 0.475120851151138 0.0715689492268504 0.0680660967993978 0.0567459119002782 0.158644787064086
"PD51607b_lo0084" 0.126011616945687 0.283493610993194 0.278970325057517 0.0507047080020377 0.134108264016629 0.0475437068048673 0.0791677681800679
"PD51607b_lo0085" 0.066106849385781 0.278180310658426 0.186644856684019 0.0476116517497687 0.2131408917356 0.0636092713999062 0.1447061683865
"PD51607b_lo0088" 0.0916608715631529 0.144887679518846 0.134232075601472 0.118626246150063 0.0964094194014562 0.130256192292783 0.283927515472227
"PD51607b_lo0089" 0.0883100292635151 0.236339607583348 0.202143165741039 0.0584206444624767 0.120283774938923 0.0688877835622912 0.225614994448407
"PD51607b_lo0090" 0.0435787555185168 0.120511452860773 0.338827196370393 0.0609766516483141 0.159792783687071 0.0392062742622674 0.237106885652664
"PD51607b_lo0091" 0.13213279600787 0.194143022022722 0.25911570153161 0.051547893369048 0.257707340858916 0.0391588507076145 0.0661943955022197
"PD51607b_lo0094" 0.106013474930151 0.176078734621332 0.203413643451502 0.0733612169553415 0.111608784606376 0.0512867992686097 0.278237346166688
"PD51608b_lo0055" 0.0775886515506775 0.291663166936934 0.36179470447656 0.0822816194293619 0.0708314282971086 0.0274192301238284 0.0884211991855297
"PD51608b_lo0057" 0.074710536736878 0.414168934099713 0.229011573600947 0.0506488144427039 0.098344964645832 0.0823831820117018 0.0507319944622245
"PD51608b_lo0059" 0.0115754040904266 0.224918594381095 0.490402341365074 0.0300858378843109 0.0461780440391966 0.159731249519071 0.0371085287208264
"PD51608b_lo0060" 0.042309674168934 0.329089362615682 0.241203494430724 0.110350025133585 0.113404032325744 0.13423949860282 0.0294039127225115
"PD51608b_lo0062" 0.0376229891070534 0.400344780604303 0.17894896916646 0.100466275105641 0.138126560151078 0.106456443540132 0.0380339823253323
"PD51608b_lo0063" 0.021251377265085 0.374798342381122 0.297106349252869 0.0461408195748913 0.072701400096597 0.0294744467334121 0.158527264696024
"PD51608b_lo0064" 0.0225256836927839 0.292484029043683 0.239980799103328 0.135261512939325 0.186027941922673 0.0496268838578062 0.0740931494404011
"PD51608b_lo0066" 0.0160275689081258 0.181198715300664 0.30408284548361 0.0434120569547547 0.286608501136198 0.0615835281776949 0.107086784038952
"PD51608b_lo0067" 0.0247197532208053 0.503965261720995 0.153752036535002 0.0376825260793938 0.0840620400716642 0.122825188552563 0.0729931938195758
"PD51608b_lo0068" 0.0120933470021031 0.211930646942145 0.479846959174337 0.0287242403481501 0.0823016427881179 0.139088484990794 0.0460146787543533
"PD51608b_lo0070" 0.018779234119482 0.260392560874021 0.370573799084577 0.0743530153915964 0.129388723699651 0.111515939095746 0.0349967277349278
"PD51608b_lo0071" 0.0409139980450586 0.144623778730139 0.294461984232437 0.110778414943304 0.229234479848224 0.157499589577429 0.0224877546234069
"PD51608b_lo0072" 0.0284783282915473 0.309264855740394 0.286866290677778 0.0895527486825402 0.157969244835768 0.0825745189488157 0.0452940128231568
"PD51608b_lo0074" 0.0238301362726533 0.271600489522194 0.309507855092129 0.0726374634627518 0.142404049346345 0.154165126074089 0.0258548802298386
"PD51608b_lo0075" 0.0102300732087047 0.115464792647257 0.343995870413508 0.192464360053701 0.176376118456191 0.0760824910690731 0.0853862941515656
"PD51608b_lo0076" 0.0797100871121634 0.307467305212863 0.276705837834797 0.0418501681997985 0.0760044449676899 0.0483549054498127 0.169907251222875
"PD51608b_lo0077" 0.0504804126041863 0.386259170675441 0.240064691523075 0.0369874851975458 0.145342648234663 0.0416985411187761 0.0991670506463136
"PD51608b_lo0078" 0.121434510532956 0.332620063640869 0.264224963829207 0.0605980592333534 0.0698718081443186 0.0994326519313599 0.051817942687936
"PD51608b_lo0079" 0.0515184624178826 0.263233627352456 0.328852890427745 0.056858794855554 0.0519603678512695 0.091965147253156 0.155610709841937
"PD51608b_lo0081" 0.0390800191501971 0.285564123331054 0.247939677792025 0.0534210707807971 0.1533819886198 0.0771006535998657 0.143512466726261
"PD51608b_lo0084" 0.0679170432664147 0.321273680628983 0.219386923004018 0.0626147933215821 0.108589450670935 0.151974005670463 0.0682441034376047
"PD51608b_lo0088" 0.0455897349534817 0.451361314136406 0.180228075811994 0.0885476997013706 0.125886872338442 0.0856976638593077 0.022688639198998
"PD51608b_lo0092" 0.0151924070934357 0.252668314897444 0.440698469967067 0.0300677254929177 0.110444007674921 0.113559294304589 0.0373697805696248
"PD51608b_lo0096" 0.0192477388530769 0.316751809198704 0.231542721597881 0.0654376208004059 0.16824047488748 0.173001411617535 0.0257782230449169
"PD52285b_lo0002" 0.0340678148271117 0.22930204185937 0.220124830377015 0.0622321598724467 0.206102943076023 0.146880331342767 0.101289878645267
"PD52285b_lo0003" 0.0623041728610923 0.162513600045947 0.121864994835085 0.0418716332954318 0.0819044042005819 0.0575698059546021 0.471971388807261
"PD52285b_lo0004" 0.078238721760915 0.165820515673447 0.206946614106224 0.091093508841723 0.0842881295364585 0.132159233161626 0.241453276919606
"PD52285b_lo0005" 0.0204079626818293 0.165090494945252 0.443234088416591 0.0332991794841298 0.115297258704785 0.0867775559769265 0.135893459790486
"PD52285b_lo0007" 0.10302854464099 0.324300281800713 0.251851053506222 0.0544795459972502 0.0661490898797888 0.0868802708323397 0.113311213342696
"PD52285b_lo0008" 0.156573187926587 0.300036564376607 0.210914681024483 0.0624773875312649 0.0757007720820755 0.150407460700013 0.0438899463589698
"PD52285b_lo0009" 0.04468284094461 0.279391105353492 0.213879515331931 0.170664832901985 0.163219233162065 0.0564515461720482 0.0717109261338693
"PD52285b_lo0010" 0.0180125876738405 0.131724030274073 0.277527036915739 0.0668154238585553 0.145239932885228 0.0681234641969708 0.292557524195593
"PD52285b_lo0011" 0.0247080067194938 0.173168310995534 0.243498193699439 0.123115390226095 0.18754805254523 0.0661207476986782 0.181841298115531
"PD52285b_lo0013" 0.0250220638028587 0.199522127081209 0.332302254972118 0.108478014999911 0.163728987442994 0.0596153995271136 0.111331152173796
"PD52285b_lo0014" 0.0783065284850816 0.110881000101446 0.153778687753964 0.127807060808899 0.111800157144442 0.12191321896202 0.295513346744148
"PD52285b_lo0016" 0.195652217904262 0.209457427917406 0.172998155271142 0.0605483485052097 0.104210340492933 0.0617850511804467 0.1953484587286
"PD52285b_lo0017" 0.180434403336276 0.263148508864416 0.203687902411434 0.0498480330193602 0.0722634060944444 0.0515881397566212 0.179029606517448
"PD52285b_lo0018" 0.17439703223443 0.254202424354586 0.263409324245617 0.055569392383225 0.0794355836536993 0.04605101835083 0.126935224777613
