gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	psubpos_cv	psubneg_cv	pindpos_cv	pindneg_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qsubpos_cv	qsubneg_cv	qindpos_cv	qindneg_cv	pglobalpos_cv	pglobalneg_cv	qglobalpos_cv	qglobalneg_cv
SERPINA1	0	2	3	0	17	32.8118852719609	782.756450388088	782.756450388088	1772.4899344872	0.00160580180907721	6.52129972245064e-09	4.07353817344358e-10	4.07353817344358e-10	1	9.94464351149429e-30	1	0.888509447477554	0.000125313295466611	7.82771095408918e-06	7.82771095408918e-06	1	1.91096269716874e-25	1	0	1	0	1
OR2F1	0	1	0	0	2	21.8175873820401	0	0	310.411376270443	0.03983828178125	0.948149788776532	0.120685613358925	0.120949837477774	0.997887756898018	6.92533425026089e-05	0.999999143904809	0.888509447477554	0.976180096824508	0.994583832568927	1	1	0.443590743176711	1	0.000106294723654643	0.999997765835489	1	1
TSC22D1	0	0	0	0	2	0	0	0	358.486611275174	0.842518812209056	0.947581785809519	0.978342952401454	1	0.978342952401454	5.20968504449394e-05	0.999999441261038	0.888509447477554	0.976180096824508	0.994583832568927	1	1	0.443590743176711	1	0.000565897144143901	0.999763762642658	1	1
SND1	0	1	0	0	2	7.05446834153011	0	0	120.603820032529	0.141210065310584	0.857077512920015	0.333178432785805	0.338794514387689	0.983913577564424	0.00044145513806788	0.999986269659328	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.00146687921493283	0.999869694904601	1	1
TMCO3	0	2	0	0	1	18.9179536009798	0	0	68.5063980906104	0.00509317067435666	0.892422464974911	0.0195888688763601	0.0197811096306548	0.99089681699411	0.0142428047582917	0.99965538911832	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.00258481852064452	0.999955258148815	1	1
VTN	0	0	0	0	2	0	0	0	145.908109077199	0.694311224852437	0.902732810285551	0.918810117913101	1	0.918810117913101	0.000304894768973192	0.999992111402197	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.00277318374407842	0.996610482372859	1	1
CCDC185	0	0	1	0	1	0	133.714330141488	133.714330141488	52.4966279922839	0.654875662599423	0.00530816332535722	0.0185155919563904	0.0205340579420455	0.904924171789848	0.0184503928202462	0.999422861371736	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.00336366064466098	0.995277503718881	1	1
GCN1	0	0	0	0	3	0	0	0	44.8329115187239	0.370244927389735	0.780884054744611	0.644323006231495	1	0.644323006231495	0.00067883070952232	0.999918895394192	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.00563099494682329	0.927515507873134	1	1
ZNF281	0	2	0	0	1	15.4377540844951	0	0	32.8039230653777	0.00777858205687043	0.897366104916684	0.0287029817713952	0.02895889852281	0.991715386656481	0.0289835624048109	0.998582925488205	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.00678424046637516	0.999952900075704	1	1
CCDC68	0	1	0	0	1	22.7165358063029	0	0	127.935270131318	0.0380729499561568	0.909599945952127	0.115608302344873	0.116381689540614	0.993574706227172	0.00771352371575461	0.999898611140623	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.00719576176637049	0.999978658983831	1	1
OVOL1	0	1	0	0	1	22.3277337252684	0	0	101.574350119335	0.038817905517928	0.936206631366102	0.117923117863966	0.118314446713105	0.996802043223948	0.00968235006210607	0.999840397262479	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0089031466665731	0.999994358794495	1	1
EFCAB13	0	2	1	0	0	14.9470923128875	64.7881224131727	64.7881224131727	0	0.00831829564415421	0.0118134590436511	0.00137589280524208	0.00137589280524208	1	1	0.982385925624073	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0104411723014838	0.999843953273694	1	1
TMCO1	0	2	0	0	0	72.8644750778478	0	0	0	0.000299645994027875	0.93134483892168	0.00144408811899521	0.00144983885701344	0.996295713209457	1	0.994902685146989	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0109264247272877	0.999961318507746	1	1
AIFM2	0	1	0	0	1	16.8078677985058	0	0	98.5622532070609	0.0534026909830777	0.920700451312961	0.154006738354313	0.15479767838621	0.995057012844648	0.00997322236825952	0.999830687194323	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.01153780722761	0.999986914157772	1	1
UGT2B7	0	1	0	0	1	13.2690077568828	0	0	113.091132443256	0.0696504726182438	0.90680638608964	0.191532262442666	0.192893090243053	0.993170998297021	0.00871096146383555	0.999870755755031	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0124152714985037	0.999975741223196	1	1
PPDPFL	0	0	0	0	1	0	0	0	587.147915621746	0.879868925195689	0.953570594541126	0.986970386729729	1	0.986970386729729	0.00169820364353841	0.999995071636427	0.891114560081885	0.976180096824508	0.994583832568927	1	1	1	1	0.0125296594046993	0.999914679687053	1	1
APH1A	0	1	0	0	1	23.7424984053955	0	0	63.4571993489642	0.0362315770312802	0.930019328734138	0.111127743873299	0.111571912614203	0.99615120387043	0.015346547033584	0.999600118400631	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0126191509845386	0.999990968110944	1	1
NPTX2	0	1	0	0	1	13.1221285984404	0	0	106.19339503159	0.0705266930113797	0.917675328360545	0.193809672907831	0.194882266736009	0.994672346515554	0.00926784699123768	0.999853741221356	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0132147315216478	0.999984995007517	1	1
ACACB	0	1	1	1	0	2.55577225529186	52.6408303052272	52.6408303052272	0	0.421476487164742	0.000593979643644493	0.00206856910317033	0.00206856910317033	1	1	0.937863567984555	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0148541840776248	0.998028257218745	1	1
HBZ	0	0	0	0	1	0	0	0	452.256339031146	0.818532576196415	0.95536767214343	0.972500785942493	1	0.972500785942493	0.00220280936783226	0.999991709643533	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0156796449866901	0.999618157461462	1	1
SRP9	0	0	0	0	1	0	0	0	449.654188771376	0.870884433455057	0.955170488797137	0.985320651497215	1	0.985320651497215	0.00221550878007911	0.999991613829015	0.888768030246353	0.976180096824508	0.994583832568927	1	1	1	1	0.0157573037304676	0.999891605037407	1	1
COL23A1	0	1	0	0	1	11.2862664698645	0	0	97.4013667902838	0.0835270143604598	0.869461981834577	0.220601759221512	0.223699748803428	0.986586638197084	0.0100900475108106	0.999826706954168	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0160113830692548	0.999907312327418	1	1
KLHL22	1	1	0	0	1	9.34938423424982	0	0	110.842971372679	0.103080938762674	0.900172105597543	0.262705972500305	0.264845519244596	0.992162781657403	0.00888496700032226	0.999865551859726	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0165943766594073	0.999968149931573	1	1
FKBP1B	0	0	0	0	1	0	0	0	361.477404321697	0.859601400048587	0.949884341339434	0.982536658041329	1	0.982536658041329	0.0027534056353104	0.999987050694904	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0189845025536727	0.999846396149161	1	1
MGAT4C	0	1	1	0	0	14.1668125681728	184.600477369975	184.600477369975	0	0.0647117851956449	0.0037274276015844	0.0027943632096622	0.0027943632096622	1	1	0.986958453571562	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.019225640915979	0.999914586915122	1	1
ADAMTS3	0	2	0	1	0	11.0078876610755	55.2530672240689	55.2530672240689	0	0.0156472048129379	0.0140984694974668	0.00281357746896427	0.00281357746896427	1	1	0.980100054221464	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0193385577541293	0.99980066942992	1	1
FMC1	0	0	0	0	1	0	0	0	352.348095238262	0.842785110291883	0.954855246745222	0.978955492309577	1	0.978955492309577	0.00282440197954833	0.999986374750222	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0194021125401418	0.999776710670335	1	1
PAIP2	0	0	0	0	1	0	0	0	343.413002706378	0.846618076603728	0.950882815342618	0.979606323838259	1	0.979606323838259	0.00289752501286933	0.999985660606058	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.019830366655293	0.999790331233109	1	1
PLA2G10	0	0	0	0	1	0	0	0	336.485940428048	0.81723344038035	0.942413388457288	0.971114132778391	1	0.971114132778391	0.00295687362403661	0.999985067596366	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0201765902094584	0.99957830211222	1	1
ALB	1	1	0	0	1	11.4584441206363	0	0	63.3944116959191	0.0820689494288004	0.883743096444564	0.218110917991109	0.220529767361812	0.98936594544956	0.0153613502613145	0.999599349399546	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0226552265557123	0.99993893972364	1	1
ACACA	0	0	1	0	1	0	26.0079610874989	26.0079610874989	26.8371928699791	0.402785650674788	0.0327107712331174	0.071181553174952	0.102240574363621	1	0.0350470780461791	0.997933976527761	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0237621753306054	0.999997864302199	1	1
DIXDC1	1	1	0	0	1	9.76014255433918	0	0	69.2839661248236	0.0982373761637527	0.865755951406931	0.251151884595915	0.254879547728392	0.985812362821324	0.0140867842909794	0.999662872733154	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.023802713813334	0.999894071125686	1	1
ZNF503	0	1	1	0	0	8.58437929625464	221.33922801608	221.33922801608	0	0.113472104256439	0.00305690458089414	0.00366558066199429	0.00366558066199429	1	1	0.933521759122784	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0242249740931625	0.997739661071895	1	1
PPP3R2	0	0	1	0	0	0	738.481558228241	738.481558228241	0	0.818339172398369	0.000828428436953743	0.00364083683970451	0.00374169344340836	0.973968004949324	1	0.994921464885136	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0246510882691371	0.999515138705272	1	1
RORB	0	1	1	0	0	14.9671347530085	130.186100320672	130.186100320672	0	0.0608370026603577	0.00546644736279311	0.00375652027155482	0.00375652027155482	1	1	0.992942448420899	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0247339144642537	0.999975036686925	1	1
PRPF31	0	1	0	0	1	12.2637489172409	0	0	53.4118805008421	0.0760930287343868	0.897872720659509	0.205619926770357	0.20737684675084	0.991797084991482	0.0181439577006759	0.999441791709843	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.024768065426189	0.999961549068508	1	1
RAB31	0	0	0	0	1	0	0	0	256.637571826073	0.805880920911743	0.931006014074958	0.966630659201828	1	0.966630659201828	0.00387077342060869	0.999974421705745	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0253702138754985	0.999436105795215	1	1
RPGR	0	1	0	0	1	6.55719887581898	0	0	87.3773713159293	0.15314076607707	0.841551015052193	0.35312605885703	0.360471628139635	0.9802163244999	0.0112254736308423	0.999785627091327	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0263421281749191	0.99979877826041	1	1
OR5P3	0	2	0	0	0	43.1390376986469	0	0	0	0.000903088004337804	0.952938937564467	0.00404582920954988	0.00405337649671622	0.998260039751996	1	0.989563306169655	0.888509447477554	0.976180096824508	0.994583832568927	1	1	1	1	0.0263802053543013	0.999925784106459	1	1
