gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	psubpos_cv	psubneg_cv	pindpos_cv	pindneg_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qsubpos_cv	qsubneg_cv	qindpos_cv	qindneg_cv	pglobalpos_cv	pglobalneg_cv	qglobalpos_cv	qglobalneg_cv
FASN	1	1	0	0	3	2.58212003238666	0	0	92.1394040261074	0.412850138721571	0.804676932879918	0.69355317296577	0.715131359101396	0.969884423448041	3.11278979428612e-05	0.999999023096955	0.895262748192106	0.977188786961902	0.995369806011228	1	1	0.598153686870022	0.999999023096955	0.000260730871264103	0.999541875031236	1	0.999999776183706
ACVR2A	0	1	0	0	2	15.0591592225453	0	0	161.417162884334	0.0594026774486679	0.905547332453111	0.167956101436097	0.169146207944204	0.992985012966704	0.000149307834909031	0.999998180545521	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.000292615169421917	0.99997532452095	1	0.999999776183706
IFNA8	0	1	1	0	0	43.121625867825	604.283941202787	604.283941202787	0	0.0182565170393899	0.0010105165538945	0.00027834295326612	0.00027834295326612	1	1	0.998518943705247	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.00255704111748123	0.999998902694268	1	0.999999776183706
CLIP3	0	3	0	0	0	35.022653303804	0	0	0	8.33795586725472e-05	0.904355634627616	0.000431896532202214	0.000435055235843529	0.992806667329868	1	0.993576562994129	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.00380239910020086	0.999907500523901	1	0.999999776183706
TP73	0	3	0	0	0	29.648384833127	0	0	0	0.000139277341208222	0.895691397408457	0.00069986586652615	0.000705963239500118	0.991442425156547	1	0.996600699329467	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.00582839536495638	0.999928579432874	1	0.999999776183706
CLTC	0	1	0	1	1	4.48797939064249	44.129076882617	44.129076882617	37.6036671231632	0.229090202780705	0.0177922271731468	0.0293323416505035	0.0293323416505035	1	0.0259064592891463	0.999331021108091	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.00621772706669532	0.999999776183706	1	0.999999776183706
OR4K14	0	0	0	0	1	0	0	0	728.47569537967	0.770432936860973	0.952304252103204	0.956605002207967	1	0.956605002207967	0.00137085375968405	0.999998126925465	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.0104079625429027	0.999044434444781	1	0.999999776183706
ZCCHC18	0	0	0	0	1	0	0	0	723.415834390436	0.744220242996009	0.939266317387956	0.945418015834628	1	0.945418015834628	0.00138042886909719	0.999998100668023	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.0104710513806187	0.998482436230442	1	0.999999776183706
OR2H1	0	0	0	0	1	0	0	0	611.144961594676	0.773331054329718	0.946914796914045	0.957246676800104	1	0.957246676800104	0.00163360874356737	0.99999734007646	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.0121164168461791	0.999072655229779	1	0.999999776183706
DNASE2B	0	1	1	0	0	21.8480455184468	187.283820274062	187.283820274062	0	0.039092568342688	0.00360505577883385	0.00172633401692435	0.00172633401692435	1	1	0.994123822404892	0.895262748192106	0.977188786961902	0.995369806011228	1	1	1	0.999999023096955	0.0127088483988054	0.99998270135185	1	0.999999776183706
