gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	psubpos_cv	psubneg_cv	pindpos_cv	pindneg_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qsubpos_cv	qsubneg_cv	qindpos_cv	qindneg_cv	pglobalpos_cv	pglobalneg_cv	qglobalpos_cv	qglobalneg_cv
CIDEB	1	18	2	0	2	96.0188448785209	95.8739918727156	95.8739918727156	115.228084880979	0	0.000180534625597195	0	0	1	0.000222917205943821	0.999997407158238	0	0.900235910540414	0	0	1	0.680622786039686	1	0	0.999999999996639	0	1
FOXO1	0	19	1	0	0	32.1394731703377	31.0729570900841	31.0729570900841	0	0	0.027391679383224	0	0	1	1	0.949935451258668	0	0.94601597024829	0	0	1	1	1	0	0.998725316557616	0	1
ALB	5	5	2	2	12	4.32929783386958	26.9095631025017	26.9095631025017	216.679978126474	0.0125405899631832	2.3711286924244e-05	1.09074818768207e-05	1.09074818768207e-05	1	2.30442155307566e-18	1	0.787356883144736	0.347050244650235	0.043512126703013	0.043512126703013	1	4.59639922976472e-14	1	0	1	0	1
ACVR2A	0	13	2	0	3	22.821315079156	30.8017403925831	30.8017403925831	51.7367613895225	5.75117731216324e-12	0.00198517710923851	1.38189459875093e-12	1.38189459875093e-12	1	8.96027170628454e-05	0.999996794966862	3.82376608894693e-08	0.94601597024829	9.18775655556203e-09	9.18775655556203e-09	1	0.446803948633879	1	4.66293670342566e-15	0.999999999994864	2.3251733871632e-11	1
GPAM	0	12	1	1	4	12.8508473158133	17.4435720099477	17.4435720099477	51.9511722822003	1.55779731336736e-08	0.00651170671332268	7.78030673220798e-09	7.78030673220798e-09	1	9.52566858713325e-06	0.999999568849476	7.76795630310634e-05	0.94601597024829	3.87964995201551e-05	3.87964995201551e-05	1	0.0949994928194799	1	2.31481500634345e-12	0.999999999999907	9.2342600233053e-09	1
TNRC6B	1	2	3	1	4	1.22284315340093	25.112595986662	25.112595986662	30.3642406229815	0.79537656519662	3.47989817156558e-05	0.000189808284018711	0.000189808284018711	1	7.18945597331715e-05	0.999994584122188	0.852787953625545	0.347050244650235	0.505012750004405	0.540845147576744	1	0.446803948633879	1	2.60775909866062e-07	0.999999999985334	0.00086690604969808	1
FASN	4	9	0	0	4	3.5476405131391	0	0	21.8477478757188	0.00489978663509105	0.523331291204862	0.0145540119738451	0.0191007067789973	0.815738379652008	0.000238862904957275	0.999975616001798	0.787356883144736	0.94601597024829	0.96554551203168	1	1	0.680622786039686	1	6.06698706706599e-05	0.981868902663789	0.172874462913855	1
TF	1	7	0	1	1	6.80951857206702	8.99066702679175	8.99066702679175	27.0810859749351	0.000350205144467153	0.109646076043725	0.000618753032219144	0.000618753032219144	1	0.0359185439338239	0.999017034209663	0.582099317628486	0.94601597024829	0.949357536972542	1	1	1	1	0.000260347028083197	0.999999516730756	0.64911022776843	1
KLF15	0	3	0	0	2	6.27511844026566	0	0	62.4155655923131	0.0187437493897684	0.822696005975903	0.0612679050333035	0.063125329942318	0.975206876769062	0.000745006953196213	0.999984130640177	0.787356883144736	0.94601597024829	0.96554551203168	1	1	1	1	0.000515659149530445	0.999689689849324	1	1
VASN	2	5	0	0	1	10.600627256339	0	0	15.4678707531839	0.000261532618964888	0.846909730649509	0.00124584952549389	0.00127630823452707	0.981535952309448	0.0616172887597306	0.997094881790238	0.474229965261242	0.94601597024829	0.96554551203168	1	1	1	1	0.000821862622449654	0.999771192632812	1	1
ATP6V0C	1	4	0	0	0	29.1676336160984	0	0	0	1.91010707838446e-05	0.905418360678832	0.000106490420752614	0.000107454452028977	0.99296581988432	1	0.985393870228665	0.0761979915709129	0.94601597024829	0.354009655388607	0.357214416694995	1	1	1	0.00108942089095987	0.999766383327948	1	1
INSR	3	8	1	0	1	5.37943677956129	6.98399337916917	6.98399337916917	10.6823194338377	0.000623179529275375	0.144588042558277	0.0012801330738339	0.0012801330738339	1	0.0873716234818265	0.99413334372079	0.638032209968041	0.94601597024829	0.96554551203168	1	1	1	1	0.00112947613596825	0.999982757420228	1	1
SREBF1	0	2	0	0	3	2.62119754672317	0	0	37.0875217246097	0.259540327510661	0.739419854287583	0.498592895715144	0.529615709243506	0.946183645238626	0.000233204621098864	0.999988501592904	0.787356883144736	0.94601597024829	0.96554551203168	1	1	0.680622786039686	1	0.00123498924158594	0.998524598507625	1	1
ZNF644	1	1	2	0	2	0.767381040416339	18.487795941387	18.487795941387	15.7796006623231	0.790452765896779	0.00571248065858609	0.020228236292489	0.0219405797312752	1	0.0103096354741882	0.999174214299155	0.849970814536532	0.94601597024829	0.96554551203168	1	1	1	1	0.00212493817119774	0.999999658945096	1	1
CHD4	0	10	0	0	0	6.57689260028469	0	0	0	4.9413944313903e-05	0.560838492618744	0.000202551990375777	0.000265145664024469	0.844401445081852	1	0.897570977105878	0.164268422214185	0.94601597024829	0.505012750004405	0.661074426829007	1	1	1	0.0024486815109136	0.967995617128248	1	1
LRP10	0	0	1	0	2	0	25.0916548863762	25.0916548863762	31.7519379838406	0.283036768868367	0.0348024738399064	0.0580359659356979	0.10780620502493	0.752792081002971	0.0027636787221078	0.999886206042239	0.787356883144736	0.94601597024829	0.96554551203168	1	1	1	1	0.00271681509915689	0.966535264955641	1	1
SF3B3	0	7	1	0	0	7.56958706660015	10.0383978980462	10.0383978980462	0	0.000200206931748936	0.0972085266772819	0.000342034959283199	0.000342034959283199	1	1	0.936662717038382	0.44370305118492	0.94601597024829	0.728543955781911	0.728543955781911	1	1	1	0.00307167833650679	0.997950452561529	1	1
ADAM10	0	1	1	2	0	1.51618562999589	40.8686544978203	40.8686544978203	0	0.705344847025579	7.07691574166613e-05	0.000365258174963357	0.000365258174963357	1	1	0.948541176276246	0.805149436928695	0.470520537944242	0.728543955781911	0.728543955781911	1	1	1	0.0032562423414626	0.998652681131959	1	1
ZW10	0	3	0	0	2	3.91939418629526	0	0	35.8261968776665	0.0660845272242612	0.682938562948922	0.167629714147771	0.184732561047897	0.919966194435337	0.00219129909822084	0.999919724947324	0.787356883144736	0.94601597024829	0.96554551203168	1	1	1	1	0.00356717868832612	0.996702097402779	1	1
RORB	0	5	1	0	0	9.15900527518328	15.478527026373	15.478527026373	0	0.000562154322181985	0.059839629755482	0.00057348027116455	0.00057348027116455	1	1	0.973196824358491	0.638032209968041	0.94601597024829	0.949357536972542	1	1	1	1	0.0048538148768833	0.999637541894815	1	1
SEL1L3	1	4	0	0	2	3.45393714223325	0	0	25.9539072942358	0.053620784299258	0.608656329172461	0.132892123209008	0.155325433517346	0.8771580305339	0.0040612813356601	0.999796959208622	0.787356883144736	0.94601597024829	0.96554551203168	1	1	1	1	0.00527901295365896	0.992102113193811	1	1
JAK1	0	8	0	0	0	6.98492988843305	0	0	0	0.00014220829335887	0.616430401878821	0.000597102601439414	0.000719947385902864	0.882092542144679	1	0.923401593979515	0.405212374190859	0.94601597024829	0.949357536972542	1	1	1	1	0.00592972599791242	0.981625067515059	1	1
AGPAT4	0	4	0	1	0	10.0818773372492	22.7192357736171	22.7192357736171	0	0.00127650293037729	0.0389021237569591	0.000824767730925102	0.000824767730925102	1	1	0.980734288813917	0.787356883144736	0.94601597024829	0.96554551203168	1	1	1	1	0.00668095574392524	0.999813212769975	1	1
OR4C12	0	5	0	0	0	11.8389412583412	0	0	0	0.000170342742421115	0.850186584652802	0.00083304055952349	0.000853277293473842	0.982320257740519	1	0.988067774068421	0.424707042541444	0.94601597024829	0.96554551203168	1	1	1	1	0.00688289813080312	0.999563491130684	1	1
